,mass,redshift,x,y,z,radius,temp,t_id,id,d_id,is_sf,is_sf_first,mm_prog_id,time,dm,dt,dmdt,dyn_heating
44,44537.3125,21.99907875061035,0.3501200079917907,0.2600800096988678,0.1656800061464309,0.0007670000777579,282.8223373925188,495782.0,93000.0,128878.0,0,0,64063.0,147.24187285531823,11298.5078125,9.097331349510483,1241.9584797368032,5.173246297732428e-29
45,33238.8046875,22.99808120727539,0.3505400121212005,0.2597799897193908,0.1653899997472763,0.0006960000027902,242.80581093537023,495782.0,64063.0,93000.0,0,0,-1.0,138.14454150580775,,,,0.0
46,140925.375,16.001020431518555,0.3451299965381622,0.2624500095844269,0.1700800061225891,0.001126000075601,450.6179120344337,495782.0,432940.0,495782.0,1,0,367354.0,231.6678964033874,-66835.8125,18.987911605947204,-3519.913821331797,0.0
47,207761.1875,16.998559951782227,0.3430700004100799,0.262389987707138,0.1701100021600723,0.0012819999828934,617.9444026533558,495782.0,367354.0,432940.0,1,1,293691.0,212.6799847974402,-62537.3125,16.5981957081423,-3767.7175037357897,0.0
48,270298.5,18.00057029724121,0.3415200114250183,0.262360006570816,0.1698099970817566,0.0013990000588819,777.428027703231,495782.0,293691.0,367354.0,0,0,229073.0,196.0817890892979,22089.546875,14.511235540830228,1522.2374974788809,2.8718738040341143e-29
49,248208.953125,19.0,0.3402200043201446,0.2621999979019165,0.1694499999284744,0.0013600001111626,773.1005003150073,495782.0,229073.0,293691.0,0,0,174061.0,181.57055354846767,57164.1875,12.807605791256492,4463.300044651975,9.118868922185431e-29
50,191044.765625,19.99958038330078,0.3392199873924255,0.2621099948883056,0.1690399944782257,0.0012470000656321,681.7506322983162,495782.0,174061.0,229073.0,0,0,128904.0,168.76294775721118,72805.9609375,11.350404355654462,6414.393589531465,1.5014552386994195e-28
51,118238.8046875,20.997360229492188,0.3384700119495392,0.2620100080966949,0.1686999946832656,0.0010620000539347,518.6405376195022,495782.0,128904.0,174061.0,0,0,93025.0,157.41254340155672,57910.44921875,10.170670546238483,5693.867376342023,1.6382499134309391e-28
52,60328.35546875,21.99907875061035,0.3378199934959411,0.2616100013256073,0.1680900007486343,0.0008490000036545,346.24115959819505,495782.0,93025.0,128904.0,0,0,-1.0,147.24187285531823,,,,0.0
53,4376119.0,15.0,0.1973800063133239,0.3792699873447418,0.1039000004529953,0.0035400001797825,4189.801672328345,476709.0,476709.0,-1.0,1,0,412813.0,253.74185883223876,864178.75,22.07396242885136,39149.23533939205,2.458634688531479e-28
